Meis1,Q60954,17268,transcription factor,Mus musculus
Tyrp1,P07147,22178,target gene,Mus musculus
Hcls1,P49710,15163,transcription factor,Mus musculus
Hr,Q61645,15460,transcription factor,Mus musculus
Lct,F8VPT3,226413,target gene,Mus musculus
Mafk,Q61827,17135,transcription factor,Mus musculus
Mllt3,A2AM29,70122,transcription factor,Mus musculus
Plagl1,B0QZX4,-,target gene,Mus musculus
Gabre,Q9JLE8,-,target gene,Mus musculus
Igh,Q8VCX4,-,target gene,Mus musculus
Slc9a2,Q3TM63,-,target gene,Mus musculus
F7,P70375,14068,target gene,Mus musculus
Anpep,P97449,16790,target gene,Mus musculus
